id,length_of_cable,section_of_cable,ic_c,tp_number_c,tp_type_c,ic,tp_number,tp_type
1,2940,240,5,1,2,30,13,0
2,2940,240,11,1,2,13,2,1
3,760,240,3,2,2,30,1,0
4,728,240,8,2,2,13,6,0
5,1400,240,15,2,2,1,22,2
6,70,150,2,3,2,10,10,1
7,60,150,7,3,2,9,10,1
8,3530,150,5,4,2,6,15,0
9,1700,150,9,4,2,9,99,0
10,750,185,5,5,2,10,107,1
11,1900,185,8,5,2,5,13,1
12,870,185,1,6,2,3,4,0
13,690,185,7,6,2,2,11,0
14,0,0,1,7,2,4,12,0
15,1310,185,6,7,2,28,107,1
16,2240,185,1,8,2,57,1,0
17,2240,185,6,8,2,2,39,2
18,1680,185,8,8,2,2,29,2
19,1650,150,1,9,2,1,43,2
20,2240,150,8,9,2,30,9,0
21,1410,240,9,9,2,5,34,2
22,1460,150,3,10,2,5,19,2
23,3630,150,7,10,2,53,10,0
24,1920,185,1,11,2,1,12,2
25,310,185,7,11,2,14,7,0
26,1920,185,1,12,2,1,11,2
27,1750,185,4,12,2,1,13,2
28,1750,185,1,13,2,4,12,2
29,500,185,4,13,2,3,7,0
30,2200,240,3,14,2,4,15,2
31,1824,300,5,14,2,22,107,1
32,2200,240,1,15,2,4,17,2
33,2200,240,4,15,2,3,14,2
34,1410,150,1,16,2,50,3,0
35,1400,150,6,16,2,0,3,0
36,250,120,8,16,2,1,407,2
37,1535,300,1,17,2,4,6,0
38,2200,240,4,17,2,1,15,2
39,800,240,1,18,2,58,1,0
40,1200,150,4,18,2,4,23,2
41,1640,150,2,19,2,29,5,0
42,1640,150,5,19,2,3,10,2
43,1950,185,1,20,2,1,21,2
44,2664,185,5,20,2,2,8,0
45,1950,185,1,21,2,1,20,2
46,2230,185,3,21,2,5,7,0
47,1670,185,4,21,2,43,8,0
48,1400,240,1,22,2,12,2,2
49,2100,240,4,22,2,19,6,0
50,670,185,1,23,2,9,5,0
51,1200,150,4,23,2,4,18,2
52,1130,185,6,23,2,1,30,2
53,2850,240,0,24,2,71,9,0
54,1775,185,2,24,2,1,35,2
55,1100,150,4,25,2,47,21,0
56,330,120,8,25,2,1,42,2
57,1850,150,1,27,2,25,28,0
58,2515,120,4,27,2,7,29,2
59,3900,150,4,28,2,56,2,0
60,1400,150,9,28,2,7,39,2
61,760,185,1,29,2,52,1,0
62,1680,185,2,29,2,8,8,2
63,2515,120,7,29,2,4,27,2
64,1130,185,1,30,2,1,23,2
65,940,240,8,30,2,69,13,0
66,960,150,4,31,2,10,106,1
67,960,150,9,31,2,9,106,1
68,1860,240,1,34,2,95,15,0
69,1410,240,5,34,2,9,9,2
70,1775,185,1,35,2,2,24,2
71,1550,185,4,35,2,4,36,2
72,4360,240,1,36,2,40,9,0
73,1550,185,4,36,2,4,35,2
74,1600,185,6,36,2,7,37,2
75,3840,185,1,37,2,35,15,0
76,1765,150,3,37,2,5,38,2
77,1600,185,7,37,2,6,36,2
78,1050,240,1,38,2,3,19,0
79,2300,240,2,38,2,7,47,2
80,1765,150,3,38,2,3,37,2
81,3020,240,1,39,2,19,18,0
82,2240,185,2,39,2,6,8,2
83,1850,120,4,39,2,4,40,2
84,1400,140,7,39,2,9,28,2
85,1170,120,1,40,2,48,18,0
86,1850,120,4,40,2,4,39,2
87,330,120,1,42,2,8,25,2
88,1230,120,4,42,2,9,21,0
89,1650,150,1,43,2,1,9,2
90,950,185,8,43,2,15,9,0
91,1550,240,1,44,2,81,15,0
92,2540,240,9,44,2,5,13,0
93,2400,240,2,47,2,10,19,0
94,2300,240,7,47,2,2,38,2
95,2250,150,1,55,2,18,28,0
96,2250,150,9,55,2,27,28,0
