id,date_of_work,ic,tp_number,tp_type,set_of_documents_st,type_of_document
1039,2020-04-06,2,1,2,1038,0
1040,2020-04-06,3,1,2,1038,0
1041,2020-04-13,4,1,2,1038,0
1042,2020-04-13,8,1,2,1038,0
1043,2020-04-21,9,1,2,1038,0
1044,2020-04-21,10,1,2,1038,0
1046,2019-01-03,2,2,2,1045,0
1047,2019-01-08,4,2,2,1045,0
1048,2019-01-15,5,2,2,1045,0
1049,2019-01-17,6,2,2,1045,0
1050,2019-01-09,7,2,2,1045,0
1051,2019-01-18,9,2,2,1045,0
1052,2019-01-04,11,2,2,1045,0
1053,2019-01-11,12,2,2,1045,0
1055,2020-04-15,4,3,2,1054,0
1056,2020-04-03,5,3,2,1054,0
1057,2020-04-03,9,3,2,1054,0
1058,2020-04-15,10,3,2,1054,0
1060,2020-03-10,1,4,2,1059,0
1061,2020-03-11,2,4,2,1059,0
1063,2019-01-23,2,5,2,1062,0
1064,2019-01-25,3,5,2,1062,0
1065,2019-01-29,12,5,2,1062,0
1067,2020-04-07,3,6,2,1066,0
1068,2020-04-07,6,6,2,1066,0
1069,2020-04-02,9,6,2,1066,0
1075,2020-06-24,4,7,2,1074,0
1076,2020-06-26,5,7,2,1074,0
1077,2020-07-02,9,7,2,1074,0
1079,2019-04-16,3,8,2,1078,0
1080,2019-04-04,5,8,2,1078,0
1081,2019-04-12,6,8,2,1078,0
1082,2019-04-09,8,8,2,1078,0
1083,2019-04-19,9,8,2,1078,0
1085,2019-07-11,1,9,2,1084,0
1086,2019-07-16,3,9,2,1084,0
1087,2019-07-18,5,9,2,1084,0
1088,2019-07-24,8,9,2,1084,0
1089,2019-07-26,9,9,2,1084,0
1091,2020-04-23,1,10,2,1090,0
1092,2020-04-23,3,10,2,1090,0
1093,2020-04-10,6,10,2,1090,0
1094,2020-04-10,9,10,2,1090,0
1096,2020-05-21,2,11,2,1095,0
1097,2020-05-21,4,11,2,1095,0
1099,2019-09-24,1,12,2,1098,0
1100,2019-09-25,2,12,2,1098,0
1101,2019-09-24,4,12,2,1098,0
1103,2019-02-22,1,13,2,1102,0
1104,2019-02-26,2,13,2,1102,0
1106,2019-09-05,1,14,2,1105,0
1107,2019-09-10,3,14,2,1105,0
1108,2019-09-03,7,14,2,1105,0
1110,2019-09-12,1,15,2,1109,0
1111,2019-09-17,2,15,2,1109,0
1112,2019-09-13,4,15,2,1109,0
1114,2020-05-20,3,16,2,1113,0
1115,2020-05-20,7,16,2,1113,0
1117,2019-09-19,2,17,2,1116,0
1118,2019-09-20,4,17,2,1116,0
1120,2019-03-19,2,18,2,1119,0
1121,2019-03-13,4,18,2,1119,0
1123,2021-06-10,2,18,2,1122,0
1125,2019-05-15,3,19,2,1124,0
1126,2019-05-22,5,19,2,1124,0
1128,2019-10-01,1,20,2,1127,0
1130,2021-05-26,3,20,2,1129,0
1131,2021-05-26,7,20,2,1129,0
1133,2019-09-25,1,21,2,1132,0
1134,2019-09-27,2,21,2,1132,0
1135,2019-09-24,3,21,2,1132,0
1136,2019-10-08,7,21,2,1132,0
1137,2019-09-24,10,21,2,1132,0
1139,2020-04-14,1,22,2,1138,0
1140,2020-04-08,3,22,2,1138,0
1141,2020-04-08,7,22,2,1138,0
1143,2019-04-23,2,23,2,1142,0
1144,2019-04-25,4,23,2,1142,0
1145,2019-04-26,6,23,2,1142,0
1147,2019-06-18,2,24,2,1146,0
1148,2019-06-20,4,24,2,1146,0
1149,2019-06-25,8,24,2,1146,0
1151,2019-10-11,1,25,2,1150,0
1152,2019-10-15,7,25,2,1150,0
1153,2019-10-17,8,25,2,1150,0
1155,2019-02-07,3,27,2,1154,0
1156,2019-02-12,4,27,2,1154,0
1158,2019-04-30,1,28,2,1157,0
1159,2019-05-07,7,28,2,1157,0
1160,2019-05-09,8,28,2,1157,0
1162,2019-02-06,2,29,2,1161,0
1163,2019-02-04,4,29,2,1161,0
1164,2019-02-14,5,29,2,1161,0
1165,2019-02-19,7,29,2,1161,0
1167,2020-07-26,1,30,2,1166,0
1168,2020-07-26,4,30,2,1166,0
1169,2020-07-26,10,30,2,1166,0
1171,2019-06-06,1,31,2,1170,0
1172,2019-06-12,7,31,2,1170,0
1174,2020-05-13,4,34,2,1173,0
1175,2020-05-11,5,34,2,1173,0
1177,2020-05-12,1,35,2,1176,0
1178,2020-05-12,3,35,2,1176,0
1179,2020-05-12,4,35,2,1176,0
1181,2019-06-27,3,36,2,1180,0
1182,2019-07-04,4,36,2,1180,0
1183,2019-07-09,6,36,2,1180,0
1185,2019-08-06,2,37,2,1184,0
1186,2019-08-08,3,37,2,1184,0
1187,2019-08-13,7,37,2,1184,0
1189,2019-08-14,2,38,2,1188,0
1190,2019-08-16,4,38,2,1188,0
1191,2019-08-20,5,38,2,1188,0
1192,2019-08-22,8,38,2,1188,0
1194,2019-05-02,4,39,2,1193,0
1195,2019-05-14,6,39,2,1193,0
1196,2019-05-16,7,39,2,1193,0
1197,2019-05-17,9,39,2,1193,0
1199,2019-06-04,2,40,2,1198,0
1200,2019-06-14,4,40,2,1198,0
1202,2020-06-26,1,42,2,1201,0
1203,2020-06-26,2,42,2,1201,0
1205,2020-07-07,1,43,2,1204,0
1206,2020-07-09,4,43,2,1204,0
1207,2020-07-14,10,43,2,1204,0
1209,2020-07-26,1,44,2,1208,0
1210,2020-07-26,2,44,2,1208,0
1212,2019-08-02,1,47,2,1211,0
1213,2019-08-01,7,47,2,1211,0
1215,2019-07-09,2,55,2,1214,0
1216,2019-07-11,7,55,2,1214,0
