id,mtz_srabi,mtz_srabt,mtz_usti,mtz_ustt,to_srabi,to_usti,phase,ic,tp_number,tp_type,type,station_and_cellular_id
421,0,0,0,0,23,6,0,2,1,2,19,289
422,6.5,10,6,3,0,0,1,2,1,2,8,289
423,0,0,0,0,23,5,2,2,1,2,17,289
424,0,0,0,0,17.5,5,0,3,1,2,20,290
425,5,9.2,5,1.5,0,0,1,3,1,2,8,290
426,0,0,0,0,17.5,5,2,3,1,2,20,290
427,0,0,0,0,18,5,0,4,1,2,20,291
428,5,9,5,4,0,0,1,4,1,2,13,291
429,0,0,0,0,17.5,5,2,4,1,2,15,291
430,0,0,0,0,18,5,0,8,1,2,17,292
431,5.2,9.2,5,4,0,0,1,8,1,2,12,292
432,0,0,0,0,17.5,5,2,8,1,2,15,292
433,0,0,0,0,17,5,0,9,1,2,20,293
434,5.1,9,5,1,0,0,1,9,1,2,8,293
435,0,0,0,0,17,5,2,9,1,2,17,293
436,0,0,0,0,16.5,5,0,10,1,2,20,294
437,5.1,9.9,5,1.5,0,0,1,10,1,2,9,294
438,0,0,0,0,17.5,5,2,10,1,2,17,294
439,0,0,0,0,20,7,0,2,2,2,14,295
440,6.9,9.2,7,4,0,0,1,2,2,2,18,295
441,0,0,0,0,20.5,7,2,2,2,2,19,295
442,0,0,0,0,15,4,0,4,2,2,19,296
443,4,12,4,4,0,0,1,4,2,2,8,296
444,0,0,0,0,15,4,2,4,2,2,14,296
445,0,0,0,0,20,7,0,5,2,2,19,297
446,6.8,9.8,7,1,0,0,1,5,2,2,8,297
447,0,0,0,0,21,7,2,5,2,2,19,297
448,0,0,0,0,21,7,0,6,2,2,19,298
449,6.8,8.1,7,4,0,0,1,6,2,2,18,298
450,0,0,0,0,20,7,2,6,2,2,19,298
451,0,0,0,0,20,7,0,7,2,2,19,299
452,6.7,7.2,7,1,0,0,1,7,2,2,8,299
453,0,0,0,0,22,7,2,7,2,2,19,299
454,0,0,0,0,21,7,0,9,2,2,19,300
455,6.8,6.6,7,2,0,0,1,9,2,2,8,300
456,0,0,0,0,20,7,2,9,2,2,19,300
457,0,0,0,0,25,8,0,11,2,2,19,301
458,6.8,4.9,7,0.5,0,0,1,11,2,2,8,301
459,0,0,0,0,25,8,2,11,2,2,19,301
460,0,0,0,0,17.5,5,0,12,2,2,17,302
461,0,0,0,0,17.5,5,2,12,2,2,17,302
