id,date_of_create,description
1038,2020-05-01,"ST1 mai 2020"
1045,2019-02-01,"ST2 fevr 2019"
1054,2020-05-01,"ST3 mai 2020"
1059,2020-03-01,"ST4 mart 2020"
1062,2019-01-01,"ST5 ianv 2019"
1066,2020-04-01,"ST6 aprel 2020"
1074,2020-06-01,"ST7 iun 2020"
1078,2019-04-01,"ST8 apr 2019"
1084,2019-07-01,"ST9 iul 2019"
1090,2020-04-01,"ST10 apr 2020"
1095,2020-05-01,"ST11 mai 2020"
1098,2019-09-01,"ST12 sent 2019"
1102,2019-02-01,"ST13 fevr 2019"
1105,2019-09-01,"ST14 sent 2019"
1109,2019-09-01,"ST15 sent 2019"
1113,2020-05-01,"ST16 may 2020"
1116,2019-09-01,"ST17 sen 2019"
1119,2019-03-01,"ST18 mart 2019"
1122,2021-06-01,"ST18 avaria iun 2021"
1124,2019-05-01,"ST19 may 2019"
1127,2019-10-01,"ST20 oct 2019"
1129,2021-05-01,"ST20 may 2021"
1132,2019-09-01,"ST21 sent 2019"
1138,2020-04-01,"ST22 apr 2020"
1142,2019-04-01,"ST23 apr 2019"
1146,2019-04-01,"ST24 iuni 2019"
1150,2019-10-01,"ST25 oct 2019"
1154,2019-02-01,"ST27 fevr 2019"
1157,2019-05-01,"ST28 mai 2019"
1161,2019-02-01,"ST29 fevr 2019"
1166,2020-07-01,"ST30 iul 2020"
1170,2019-06-01,"ST31 iun 2019"
1173,2020-05-01,"ST34 mai 2020"
1176,2020-05-01,"ST35 mai 2020"
1180,2019-07-01,"ST36 iul 2019"
1184,2019-08-01,"ST37 avg 2019"
1188,2019-08-01,"ST38 avg 2019"
1193,2019-05-01,"ST39 mai 2019"
1198,2019-06-01,"ST40 iuni 2019"
1201,2020-06-01,"ST42 iuni 2020"
1204,2020-07-01,"ST43 iuli 2020"
1208,2020-07-01,"ST44 iuli 2020"
1211,2019-08-01,"ST47 avg 2019"
1214,2019-07-01,"ST55 iul 2019"
